-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 08/01/2020 through 07/31/2021 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M
24.0,117.5,2020,8,1,4.82
24.0,118.125,2020,8,1,4.27
24.0,118.75,2020,8,1,3.26
24.0,119.375,2020,8,1,1.51
24.0,120.0,2020,8,1,3.44
24.5,117.5,2020,8,1,3.36
24.5,118.125,2020,8,1,2.98
24.5,118.75,2020,8,1,2.35
24.5,119.375,2020,8,1,1.99
24.5,120.0,2020,8,1,2.99
25.0,117.5,2020,8,1,3.1
25.0,118.125,2020,8,1,2.74
25.0,118.75,2020,8,1,2.44
25.0,119.375,2020,8,1,1.85
25.0,120.0,2020,8,1,2.21
25.5,117.5,2020,8,1,3.04
25.5,118.125,2020,8,1,2.76
25.5,118.75,2020,8,1,2.55
25.5,119.375,2020,8,1,3.33
25.5,120.0,2020,8,1,2.06
26.0,117.5,2020,8,1,2.42
26.0,118.125,2020,8,1,2.56
26.0,118.75,2020,8,1,2.53
26.0,119.375,2020,8,1,3.95
26.0,120.0,2020,8,1,4.78
26.5,117.5,2020,8,1,2.02
26.5,118.125,2020,8,1,2.5
26.5,118.75,2020,8,1,3.1
26.5,119.375,2020,8,1,4.07
26.5,120.0,2020,8,1,5.59
27.0,117.5,2020,8,1,2.41
27.0,118.125,2020,8,1,2.65
27.0,118.75,2020,8,1,3.48
27.0,119.375,2020,8,1,4.21
27.0,120.0,2020,8,1,4.71
24.0,117.5,2020,8,2,4.22
24.0,118.125,2020,8,2,3.53
24.0,118.75,2020,8,2,2.86
24.0,119.375,2020,8,2,2.64
24.0,120.0,2020,8,2,4.22
24.5,117.5,2020,8,2,3.52
24.5,118.125,2020,8,2,2.88
24.5,118.75,2020,8,2,2.31
24.5,119.375,2020,8,2,3.31
24.5,120.0,2020,8,2,4.93
25.0,117.5,2020,8,2,3.52
25.0,118.125,2020,8,2,2.97
25.0,118.75,2020,8,2,2.98
25.0,119.375,2020,8,2,4.1
25.0,120.0,2020,8,2,5.3
25.5,117.5,2020,8,2,3.46
25.5,118.125,2020,8,2,2.88
25.5,118.75,2020,8,2,2.39
25.5,119.375,2020,8,2,4.08
25.5,120.0,2020,8,2,4.12
26.0,117.5,2020,8,2,3.2
26.0,118.125,2020,8,2,2.97
26.0,118.75,2020,8,2,2.37
26.0,119.375,2020,8,2,3.57
26.0,120.0,2020,8,2,4.36
26.5,117.5,2020,8,2,3.04
26.5,118.125,2020,8,2,2.88
26.5,118.75,2020,8,2,2.95
26.5,119.375,2020,8,2,3.45
26.5,120.0,2020,8,2,4.23
27.0,117.5,2020,8,2,3.23
27.0,118.125,2020,8,2,2.82
27.0,118.75,2020,8,2,3.17
27.0,119.375,2020,8,2,3.43
27.0,120.0,2020,8,2,3.61
24.0,117.5,2020,8,3,3.52
24.0,118.125,2020,8,3,3.32
24.0,118.75,2020,8,3,3.33
24.0,119.375,2020,8,3,4.2
24.0,120.0,2020,8,3,5.25
24.5,117.5,2020,8,3,2.59
24.5,118.125,2020,8,3,3.13
24.5,118.75,2020,8,3,3.69
24.5,119.375,2020,8,3,4.59
24.5,120.0,2020,8,3,6.11
25.0,117.5,2020,8,3,2.19
25.0,118.125,2020,8,3,2.74
25.0,118.75,2020,8,3,3.95
25.0,119.375,2020,8,3,5.27
25.0,120.0,2020,8,3,7.2
25.5,117.5,2020,8,3,2.25
25.5,118.125,2020,8,3,2.25
25.5,118.75,2020,8,3,3.38
25.5,119.375,2020,8,3,5.63
25.5,120.0,2020,8,3,7.82
26.0,117.5,2020,8,3,2.27
26.0,118.125,2020,8,3,2.08
26.0,118.75,2020,8,3,2.41
26.0,119.375,2020,8,3,4.58
26.0,120.0,2020,8,3,7.59
26.5,117.5,2020,8,3,2.27
26.5,118.125,2020,8,3,1.83
26.5,118.75,2020,8,3,2.37
26.5,119.375,2020,8,3,3.96
26.5,120.0,2020,8,3,6.71
27.0,117.5,2020,8,3,2.17
27.0,118.125,2020,8,3,2.07
27.0,118.75,2020,8,3,2.77
27.0,119.375,2020,8,3,3.73
27.0,120.0,2020,8,3,6.01
24.0,117.5,2020,8,4,4.32
24.0,118.125,2020,8,4,5.91
24.0,118.75,2020,8,4,8.15
24.0,119.375,2020,8,4,11.25
24.0,120.0,2020,8,4,11.62
24.5,117.5,2020,8,4,3.0
24.5,118.125,2020,8,4,5.53
24.5,118.75,2020,8,4,8.05
24.5,119.375,2020,8,4,10.51
24.5,120.0,2020,8,4,11.61
25.0,117.5,2020,8,4,2.73
25.0,118.125,2020,8,4,4.99
25.0,118.75,2020,8,4,6.9
25.0,119.375,2020,8,4,9.83
25.0,120.0,2020,8,4,11.17
25.5,117.5,2020,8,4,2.83
25.5,118.125,2020,8,4,3.91
25.5,118.75,2020,8,4,5.68
25.5,119.375,2020,8,4,9.51
25.5,120.0,2020,8,4,10.47
26.0,117.5,2020,8,4,2.93
26.0,118.125,2020,8,4,3.61
26.0,118.75,2020,8,4,3.82
26.0,119.375,2020,8,4,7.29
26.0,120.0,2020,8,4,10.14
26.5,117.5,2020,8,4,3.09
26.5,118.125,2020,8,4,3.48
26.5,118.75,2020,8,4,3.78
26.5,119.375,2020,8,4,5.18
26.5,120.0,2020,8,4,8.98
27.0,117.5,2020,8,4,2.96
27.0,118.125,2020,8,4,3.45
27.0,118.75,2020,8,4,4.15
27.0,119.375,2020,8,4,5.11
27.0,120.0,2020,8,4,6.81
24.0,117.5,2020,8,5,4.87
24.0,118.125,2020,8,5,4.62
24.0,118.75,2020,8,5,4.94
24.0,119.375,2020,8,5,5.55
24.0,120.0,2020,8,5,5.27
24.5,117.5,2020,8,5,3.98
24.5,118.125,2020,8,5,5.07
24.5,118.75,2020,8,5,5.35
24.5,119.375,2020,8,5,5.27
24.5,120.0,2020,8,5,4.86
25.0,117.5,2020,8,5,4.28
25.0,118.125,2020,8,5,5.24
25.0,118.75,2020,8,5,5.16
25.0,119.375,2020,8,5,5.54
25.0,120.0,2020,8,5,4.98
25.5,117.5,2020,8,5,4.55
25.5,118.125,2020,8,5,4.85
25.5,118.75,2020,8,5,4.95
25.5,119.375,2020,8,5,6.43
25.5,120.0,2020,8,5,5.67
26.0,117.5,2020,8,5,4.21
26.0,118.125,2020,8,5,4.29
26.0,118.75,2020,8,5,4.03
26.0,119.375,2020,8,5,5.53
26.0,120.0,2020,8,5,5.77
26.5,117.5,2020,8,5,3.32
26.5,118.125,2020,8,5,3.34
26.5,118.75,2020,8,5,3.99
26.5,119.375,2020,8,5,4.3
26.5,120.0,2020,8,5,5.25
27.0,117.5,2020,8,5,3.38
27.0,118.125,2020,8,5,3.45
27.0,118.75,2020,8,5,4.18
27.0,119.375,2020,8,5,4.17
27.0,120.0,2020,8,5,4.78
24.0,117.5,2020,8,6,2.83
24.0,118.125,2020,8,6,2.21
24.0,118.75,2020,8,6,2.02
24.0,119.375,2020,8,6,2.81
24.0,120.0,2020,8,6,4.19
24.5,117.5,2020,8,6,2.82
24.5,118.125,2020,8,6,3.02
24.5,118.75,2020,8,6,2.46
24.5,119.375,2020,8,6,2.13
24.5,120.0,2020,8,6,3.64
25.0,117.5,2020,8,6,2.77
25.0,118.125,2020,8,6,3.03
25.0,118.75,2020,8,6,3.49
25.0,119.375,2020,8,6,1.77
25.0,120.0,2020,8,6,2.33
25.5,117.5,2020,8,6,2.74
25.5,118.125,2020,8,6,3.03
25.5,118.75,2020,8,6,3.4
25.5,119.375,2020,8,6,2.91
25.5,120.0,2020,8,6,1.81
26.0,117.5,2020,8,6,2.57
26.0,118.125,2020,8,6,2.82
26.0,118.75,2020,8,6,2.46
26.0,119.375,2020,8,6,2.75
26.0,120.0,2020,8,6,2.27
26.5,117.5,2020,8,6,2.44
26.5,118.125,2020,8,6,2.28
26.5,118.75,2020,8,6,2.42
26.5,119.375,2020,8,6,2.46
26.5,120.0,2020,8,6,2.46
27.0,117.5,2020,8,6,2.75
27.0,118.125,2020,8,6,2.55
27.0,118.75,2020,8,6,2.81
27.0,119.375,2020,8,6,2.65
27.0,120.0,2020,8,6,2.67
24.0,117.5,2020,8,7,3.41
24.0,118.125,2020,8,7,3.56
24.0,118.75,2020,8,7,3.11
24.0,119.375,2020,8,7,2.92
24.0,120.0,2020,8,7,2.95
24.5,117.5,2020,8,7,3.52
24.5,118.125,2020,8,7,4.67
24.5,118.75,2020,8,7,4.64
24.5,119.375,2020,8,7,3.8
24.5,120.0,2020,8,7,2.81
25.0,117.5,2020,8,7,3.25
25.0,118.125,2020,8,7,4.3
25.0,118.75,2020,8,7,5.24
25.0,119.375,2020,8,7,4.86
25.0,120.0,2020,8,7,3.28
25.5,117.5,2020,8,7,2.98
25.5,118.125,2020,8,7,3.55
25.5,118.75,2020,8,7,4.55
25.5,119.375,2020,8,7,5.05
25.5,120.0,2020,8,7,4.17
26.0,117.5,2020,8,7,2.76
26.0,118.125,2020,8,7,3.1
26.0,118.75,2020,8,7,2.9
26.0,119.375,2020,8,7,3.76
26.0,120.0,2020,8,7,3.9
26.5,117.5,2020,8,7,2.63
26.5,118.125,2020,8,7,2.34
26.5,118.75,2020,8,7,2.18
26.5,119.375,2020,8,7,2.86
26.5,120.0,2020,8,7,3.16
27.0,117.5,2020,8,7,2.82
27.0,118.125,2020,8,7,2.41
27.0,118.75,2020,8,7,2.53
27.0,119.375,2020,8,7,2.39
27.0,120.0,2020,8,7,2.73
24.0,117.5,2020,8,8,4.26
24.0,118.125,2020,8,8,4.76
24.0,118.75,2020,8,8,4.33
24.0,119.375,2020,8,8,3.91
24.0,120.0,2020,8,8,3.65
24.5,117.5,2020,8,8,3.51
24.5,118.125,2020,8,8,4.92
24.5,118.75,2020,8,8,5.35
24.5,119.375,2020,8,8,4.5
24.5,120.0,2020,8,8,3.11
25.0,117.5,2020,8,8,2.52
25.0,118.125,2020,8,8,3.77
25.0,118.75,2020,8,8,5.37
25.0,119.375,2020,8,8,5.42
25.0,120.0,2020,8,8,4.12
25.5,117.5,2020,8,8,2.26
25.5,118.125,2020,8,8,2.54
25.5,118.75,2020,8,8,3.29
25.5,119.375,2020,8,8,5.07
25.5,120.0,2020,8,8,5.27
26.0,117.5,2020,8,8,2.43
26.0,118.125,2020,8,8,2.49
26.0,118.75,2020,8,8,1.98
26.0,119.375,2020,8,8,3.27
26.0,120.0,2020,8,8,5.1
26.5,117.5,2020,8,8,2.4
26.5,118.125,2020,8,8,2.27
26.5,118.75,2020,8,8,2.08
26.5,119.375,2020,8,8,2.33
26.5,120.0,2020,8,8,4.08
27.0,117.5,2020,8,8,2.63
27.0,118.125,2020,8,8,2.4
27.0,118.75,2020,8,8,2.64
27.0,119.375,2020,8,8,2.03
27.0,120.0,2020,8,8,2.97
24.0,117.5,2020,8,9,5.31
24.0,118.125,2020,8,9,6.35
24.0,118.75,2020,8,9,6.01
24.0,119.375,2020,8,9,5.28
24.0,120.0,2020,8,9,4.52
24.5,117.5,2020,8,9,3.56
24.5,118.125,2020,8,9,5.14
24.5,118.75,2020,8,9,5.77
24.5,119.375,2020,8,9,5.03
24.5,120.0,2020,8,9,4.36
25.0,117.5,2020,8,9,2.47
25.0,118.125,2020,8,9,3.16
25.0,118.75,2020,8,9,3.74
25.0,119.375,2020,8,9,3.92
25.0,120.0,2020,8,9,3.65
25.5,117.5,2020,8,9,2.17
25.5,118.125,2020,8,9,2.28
25.5,118.75,2020,8,9,2.35
25.5,119.375,2020,8,9,3.09
25.5,120.0,2020,8,9,3.58
26.0,117.5,2020,8,9,2.34
26.0,118.125,2020,8,9,2.25
26.0,118.75,2020,8,9,2.16
26.0,119.375,2020,8,9,2.87
26.0,120.0,2020,8,9,3.67
26.5,117.5,2020,8,9,2.35
