-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 08/01/2015 through 08/01/2025 in LST
Location: Latitude  24.3415   Longitude 120.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WS10M
2015,8,1,0,4.56,4.26
2015,8,1,1,4.68,4.36
2015,8,1,2,4.77,4.43
2015,8,1,3,4.72,4.38
2015,8,1,4,4.56,4.24
2015,8,1,5,4.36,4.06
2015,8,1,6,4.18,3.91
2015,8,1,7,4.04,3.79
2015,8,1,8,4.0,3.75
2015,8,1,9,4.05,3.79
2015,8,1,10,4.17,3.9
2015,8,1,11,4.13,3.87
2015,8,1,12,3.94,3.7
2015,8,1,13,3.63,3.42
2015,8,1,14,3.28,3.1
2015,8,1,15,2.97,2.82
2015,8,1,16,2.72,2.58
2015,8,1,17,2.53,2.41
2015,8,1,18,2.35,2.25
2015,8,1,19,2.19,2.09
2015,8,1,20,2.07,1.98
2015,8,1,21,2.12,2.02
2015,8,1,22,2.42,2.31
2015,8,1,23,2.97,2.81
2015,8,2,0,3.78,3.54
2015,8,2,1,4.57,4.25
2015,8,2,2,4.53,4.21
2015,8,2,3,4.19,3.89
2015,8,2,4,3.92,3.65
2015,8,2,5,3.38,3.17
2015,8,2,6,2.84,2.68
2015,8,2,7,2.46,2.34
2015,8,2,8,2.23,2.12
2015,8,2,9,2.22,2.12
2015,8,2,10,2.4,2.28
2015,8,2,11,2.63,2.5
2015,8,2,12,2.87,2.72
2015,8,2,13,3.11,2.96
2015,8,2,14,3.3,3.13
2015,8,2,15,3.36,3.19
2015,8,2,16,3.25,3.09
2015,8,2,17,2.95,2.81
2015,8,2,18,2.51,2.4
2015,8,2,19,1.98,1.9
2015,8,2,20,1.41,1.36
2015,8,2,21,1.16,1.11
2015,8,2,22,1.32,1.27
2015,8,2,23,1.52,1.46
2015,8,3,0,1.63,1.56
2015,8,3,1,1.63,1.56
2015,8,3,2,1.48,1.43
2015,8,3,3,1.26,1.2
2015,8,3,4,1.03,0.99
2015,8,3,5,1.06,1.03
2015,8,3,6,1.25,1.22
2015,8,3,7,1.26,1.22
2015,8,3,8,1.04,1.0
2015,8,3,9,1.06,1.03
2015,8,3,10,1.68,1.63
2015,8,3,11,2.29,2.22
2015,8,3,12,2.68,2.59
2015,8,3,13,2.86,2.75
2015,8,3,14,2.78,2.66
2015,8,3,15,2.49,2.39
2015,8,3,16,2.04,1.96
2015,8,3,17,1.58,1.52
2015,8,3,18,1.34,1.29
2015,8,3,19,1.34,1.29
2015,8,3,20,1.55,1.49
2015,8,3,21,2.01,1.92
2015,8,3,22,2.54,2.41
2015,8,3,23,3.0,2.83
2015,8,4,0,3.29,3.09
2015,8,4,1,3.33,3.13
2015,8,4,2,3.15,2.97
2015,8,4,3,2.89,2.72
2015,8,4,4,2.68,2.54
2015,8,4,5,2.28,2.17
2015,8,4,6,1.71,1.63
2015,8,4,7,1.29,1.24
2015,8,4,8,1.08,1.05
2015,8,4,9,1.07,1.04
2015,8,4,10,1.18,1.16
2015,8,4,11,1.3,1.27
2015,8,4,12,1.38,1.35
2015,8,4,13,1.43,1.39
2015,8,4,14,1.49,1.44
2015,8,4,15,1.63,1.58
2015,8,4,16,1.78,1.72
2015,8,4,17,1.86,1.79
2015,8,4,18,1.7,1.65
2015,8,4,19,1.41,1.37
2015,8,4,20,1.08,1.05
2015,8,4,21,0.83,0.79
2015,8,4,22,0.69,0.67
2015,8,4,23,0.68,0.66
2015,8,5,0,0.78,0.76
2015,8,5,1,0.87,0.84
2015,8,5,2,0.88,0.86
2015,8,5,3,0.77,0.74
2015,8,5,4,0.58,0.57
2015,8,5,5,0.64,0.63
2015,8,5,6,1.13,1.1
2015,8,5,7,1.65,1.62
2015,8,5,8,1.88,1.84
2015,8,5,9,1.97,1.93
2015,8,5,10,2.03,2.0
2015,8,5,11,2.16,2.11
2015,8,5,12,2.49,2.42
2015,8,5,13,2.93,2.83
2015,8,5,14,3.3,3.17
2015,8,5,15,3.55,3.38
2015,8,5,16,3.69,3.51
2015,8,5,17,3.9,3.69
2015,8,5,18,4.24,3.97
2015,8,5,19,4.56,4.26
2015,8,5,20,4.94,4.58
2015,8,5,21,5.33,4.89
2015,8,5,22,5.45,4.98
2015,8,5,23,5.0,4.57
2015,8,6,0,4.36,3.99
2015,8,6,1,3.66,3.38
2015,8,6,2,2.97,2.76
2015,8,6,3,2.52,2.33
2015,8,6,4,2.12,1.97
2015,8,6,5,1.64,1.51
2015,8,6,6,0.7,0.65
2015,8,6,7,0.98,0.9
2015,8,6,8,1.88,1.76
2015,8,6,9,2.71,2.52
2015,8,6,10,3.97,3.64
2015,8,6,11,5.56,5.02
2015,8,6,12,7.3,6.51
2015,8,6,13,8.77,7.74
2015,8,6,14,9.87,8.64
2015,8,6,15,10.94,9.49
2015,8,6,16,11.89,10.23
2015,8,6,17,12.44,10.68
2015,8,6,18,12.77,10.99
2015,8,6,19,12.97,11.21
2015,8,6,20,12.97,11.22
2015,8,6,21,13.05,11.24
2015,8,6,22,13.17,11.3
2015,8,6,23,13.04,11.22
2015,8,7,0,12.98,11.19
2015,8,7,1,13.04,11.23
2015,8,7,2,13.31,11.4
2015,8,7,3,13.72,11.74
2015,8,7,4,13.96,11.94
2015,8,7,5,13.96,11.95
2015,8,7,6,13.97,11.94
2015,8,7,7,13.77,11.83
2015,8,7,8,13.96,11.98
2015,8,7,9,14.53,12.47
2015,8,7,10,15.01,12.9
2015,8,7,11,15.75,13.53
2015,8,7,12,16.75,14.33
2015,8,7,13,17.8,15.16
2015,8,7,14,18.71,15.91
2015,8,7,15,19.32,16.4
2015,8,7,16,20.0,16.86
2015,8,7,17,21.05,17.7
2015,8,7,18,21.79,18.31
2015,8,7,19,22.28,18.71
2015,8,7,20,22.97,19.27
2015,8,7,21,24.05,20.13
2015,8,7,22,24.93,20.86
2015,8,7,23,25.9,21.69
2015,8,8,0,27.21,22.74
