YEAR,MO,DY,WS50M
2015,8,1,4.06
2015,8,2,2.83
2015,8,3,1.1
2015,8,4,1.13
2015,8,5,3.34
2015,8,6,9.0
2015,8,7,16.15
2015,8,8,33.44
2015,8,9,17.25
2015,8,10,10.16
2015,8,11,8.89
2015,8,12,8.67
2015,8,13,9.49
2015,8,14,10.59
2015,8,15,10.03
2015,8,16,11.0
2015,8,17,8.05
2015,8,18,4.49
2015,8,19,6.04
2015,8,20,10.87
2015,8,21,14.23
2015,8,22,15.88
2015,8,23,13.18
2015,8,24,5.25
2015,8,25,4.36
2015,8,26,1.84
2015,8,27,6.99
2015,8,28,9.21
2015,8,29,10.58
2015,8,30,5.12
2015,8,31,5.69
2015,9,1,3.55
2015,9,2,5.25
2015,9,3,2.75
2015,9,4,3.06
2015,9,5,8.27
2015,9,6,8.68
2015,9,7,10.63
2015,9,8,11.27
2015,9,9,11.02
2015,9,10,10.21
2015,9,11,8.06
2015,9,12,8.89
2015,9,13,14.66
2015,9,14,13.45
2015,9,15,9.72
2015,9,16,9.28
2015,9,17,10.23
2015,9,18,8.43
2015,9,19,7.79
2015,9,20,5.19
2015,9,21,3.67
2015,9,22,2.95
2015,9,23,4.02
2015,9,24,3.85
2015,9,25,6.38
2015,9,26,11.19
2015,9,27,14.09
2015,9,28,23.02
2015,9,29,19.42
2015,9,30,1.68
2015,10,1,4.96
2015,10,2,12.37
2015,10,3,10.04
2015,10,4,7.94
2015,10,5,9.56
2015,10,6,11.05
2015,10,7,6.85
2015,10,8,2.64
2015,10,9,12.37
2015,10,10,10.2
2015,10,11,12.67
2015,10,12,14.09
2015,10,13,14.28
2015,10,14,12.64
2015,10,15,13.11
2015,10,16,15.12
2015,10,17,16.25
2015,10,18,17.01
2015,10,19,16.82
2015,10,20,16.4
2015,10,21,16.14
2015,10,22,14.95
2015,10,23,13.59
2015,10,24,12.01
2015,10,25,12.92
2015,10,26,7.18
2015,10,27,2.46
2015,10,28,9.99
2015,10,29,5.58
2015,10,30,8.77
2015,10,31,15.08
2015,11,1,11.84
2015,11,2,14.32
2015,11,3,14.82
2015,11,4,13.05
2015,11,5,8.76
2015,11,6,6.71
2015,11,7,2.35
2015,11,8,1.73
2015,11,9,10.62
2015,11,10,15.56
2015,11,11,13.88
2015,11,12,12.03
2015,11,13,5.3
2015,11,14,8.03
2015,11,15,11.25
2015,11,16,5.22
2015,11,17,1.42
2015,11,18,4.81
2015,11,19,9.91
2015,11,20,11.72
2015,11,21,12.05
2015,11,22,11.92
2015,11,23,13.48
2015,11,24,13.66
2015,11,25,13.09
2015,11,26,15.17
2015,11,27,14.64
2015,11,28,10.58
2015,11,29,8.79
2015,11,30,10.93
2015,12,1,9.26
2015,12,2,5.59
2015,12,3,15.11
2015,12,4,15.25
2015,12,5,12.5
2015,12,6,14.59
2015,12,7,15.61
2015,12,8,16.18
2015,12,9,11.16
2015,12,10,6.39
2015,12,11,12.19
2015,12,12,12.32
2015,12,13,10.98
2015,12,14,13.19
2015,12,15,15.08
2015,12,16,15.53
2015,12,17,16.61
2015,12,18,15.2
2015,12,19,14.7
2015,12,20,9.84
2015,12,21,10.43
2015,12,22,9.16
2015,12,23,3.55
2015,12,24,6.97
2015,12,25,12.86
2015,12,26,10.05
2015,12,27,11.44
2015,12,28,16.04
2015,12,29,14.38
2015,12,30,13.31
2015,12,31,15.97
2016,1,1,13.49
2016,1,2,6.48
2016,1,3,4.01
2016,1,4,4.12
2016,1,5,5.97
2016,1,6,12.71
2016,1,7,13.36
2016,1,8,12.07
2016,1,9,11.94
2016,1,10,10.05
2016,1,11,10.89
2016,1,12,13.44
2016,1,13,12.32
2016,1,14,10.12
2016,1,15,8.73
2016,1,16,9.86
2016,1,17,6.5
2016,1,18,13.08
2016,1,19,14.18
